Models,CA_T1,CA_T6
LSTM,0.0911,0.1759
CNN,0.092,0.1777
PatchTST,0.1032,0.1785
MLP,0.1676,0.2339
DLinear,0.0843,0.1707
TSMixer,0.0853,0.1756
LSTM-KAN,0.0886,0.165
C-KAN,0.0842,0.1644
Transformer-BiLSTM,0.0929,0.1714
KAMAN,0.0704,0.1473
